variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	hap	q2.5	q97.5
growth_rate[243]	0.911753596875	0.9118645	0.01830596437423	0.0184131507	0.88149255	0.94146975	1.00052729605989	3770.81630201389	5465.75722019873	hap_temp_2442	0.8756663	0.946965925
growth_rate[36]	0.90718532025	0.9071585	0.006976005168322	0.0069867525	0.895622	0.91853435	1.00418183984776	1033.9399679863	2375.91694179654	hap_temp_2235	0.8935697	0.920610775
growth_rate[189]	0.90389058925	0.903963	0.01770005303213	0.0178786734	0.87473785	0.932848	1.00230336820389	4575.01113949059	5535.37757308504	hap_temp_2343	0.8690675	0.938113025
growth_rate[147]	0.895867431125	0.8957065	0.012794874517653	0.012609513	0.8749798	0.9176223	1.00103613069774	4960.49834414724	6054.76682764916	hap_temp_2216	0.8709549	0.921023275
growth_rate[181]	0.891134291625	0.8920625	0.020446105314085	0.0199921197	0.8567258	0.9230911	1.00070625448162	3902.26928508686	5066.4359389577	hap_temp_1851	0.848605	0.928824575
growth_rate[117]	0.8876445945	0.887747	0.011954468918827	0.0119260344	0.8679923	0.90744385	1.00104346284267	3648.60404226429	5135.46484713407	hap_temp_2180	0.864231725	0.9110651
growth_rate[155]	0.873074404	0.8729415	0.013851868853412	0.0137563041	0.85027285	0.89556585	1.00080794679903	2895.02197659751	4884.98887215089	hap_temp_2218	0.845566675	0.90008265
growth_rate[194]	0.868067303625	0.867936	0.016271031914483	0.0162589329	0.8415581	0.89497575	1.00137783584602	3171.51112349459	5756.06429896488	hap_temp_2439	0.8362624	0.900303275
growth_rate[113]	0.862542934625	0.8626785	0.012819708220245	0.0127340514	0.841038	0.8832283	1.00072753522066	2848.31108948973	4856.31173633247	hap_temp_2226	0.836749375	0.88759815
growth_rate[208]	0.849674737875	0.8498335	0.019476031275762	0.0196288827	0.8174569	0.88135465	1.00085005653401	5427.71992416651	6275.19695056368	hap_temp_2342	0.810969225	0.886710675
growth_rate[176]	0.849554300875	0.850222	0.024790045070944	0.0246052296	0.8075734	0.8904379	1.00077445058295	9353.66106864828	5260.16949488915	hap_temp_145	0.799305875	0.897611375
growth_rate[214]	0.845444753	0.845502	0.019788081389965	0.0193938906	0.81269425	0.87774465	1.0009917498725	4601.96201953314	5269.11835033219	hap_temp_2480	0.806468925	0.88428945
growth_rate[234]	0.84034553525	0.840779	0.016906578911982	0.0164108994	0.8121104	0.86719925	1.00166572870738	2506.58932087382	5637.88834441189	hap_temp_2300	0.80579165	0.87231205
growth_rate[116]	0.83818038375	0.838266	0.013707955484104	0.0137251695	0.81545595	0.8603806	1.00098822197115	2949.78419012308	5529.77388312639	hap_temp_2506	0.81078805	0.864780125
growth_rate[140]	0.834994133875	0.8350365	0.012708967654035	0.0124634769	0.8140713	0.8561108	1.0002276195364	6041.21969589072	5857.89280304124	hap_temp_2288	0.809940425	0.859797725
growth_rate[211]	0.833242330375	0.8327305	0.016191619206222	0.0156584799	0.80772075	0.86002065	1.00171546017209	2294.15786535668	5366.81034381763	hap_temp_2308	0.8029635	0.86691715
growth_rate[167]	0.831739430875	0.831903	0.013752096568059	0.0134086344	0.80918335	0.8543841	1.00083364359328	5997.57577716472	6199.98596909834	hap_temp_2196	0.80450455	0.858345175
growth_rate[190]	0.83137789825	0.830819	0.017836489370628	0.0176525769	0.80291355	0.8613395	1.00202159231636	2366.51679076878	4467.31348521992	hap_temp_2593	0.7978807	0.86829995
growth_rate[66]	0.828281911	0.828348	0.012214662342482	0.0120446424	0.80806955	0.8484173	1.00153447305054	3008.84496400199	5108.32157950504	hap_temp_2494	0.803770625	0.85192105
growth_rate[78]	0.818108891	0.818011	0.0105227809781	0.0106220877	0.80093545	0.83530535	1.00126109968738	2043.38430347095	4151.10033564811	hap_temp_2335	0.79796495	0.838848175
growth_rate[45]	0.815009525375	0.8150535	0.00961774779505	0.0096228153	0.79896025	0.8306577	1.00155822344227	2636.49260706217	4617.89749490124	hap_temp_2466	0.795973625	0.83372585
growth_rate[124]	0.813873923375	0.814059	0.011756477225443	0.0114857022	0.79434955	0.8328017	1.00024329963754	2720.29519873574	4571.72949868046	hap_temp_2197	0.790214975	0.8365179
growth_rate[3]	0.80933943975	0.8093505	0.003895688507888	0.0038110233	0.80289595	0.81577205	1.00890117838654	479.816632682816	1097.4451164253	hap_temp_2292	0.80160095	0.817107
growth_rate[242]	0.801514123875	0.8014715	0.014143117318177	0.0132559266	0.77812675	0.82436595	1.00094426471563	3623.28007892846	5787.20572185795	hap_temp_2258	0.77359185	0.829903175
growth_rate[222]	0.77795986625	0.7780925	0.015261670550962	0.01497426	0.7529268	0.80251925	1.00038530929178	3160.45883381376	5020.75916598774	hap_temp_2332	0.747645325	0.80732995
growth_rate[26]	0.774246643125	0.774323	0.007884468782915	0.0080490354	0.7611679	0.78687315	1.00192682475472	1630.85527664729	3624.55584778736	hap_temp_2454	0.75871895	0.7894644
growth_rate[7]	0.7704903795	0.7704235	0.005185574848225	0.0051631545	0.7620196	0.7791091	1.00368143005016	959.767361689534	2553.55488650999	hap_temp_2272	0.76025795	0.780717175
growth_rate[223]	0.75873885975	0.757719	0.021080925577385	0.0207319371	0.7257442	0.7945312	1.00173679059593	3396.47760363101	5775.15954622764	hap_temp_2409	0.720151525	0.8032957
growth_rate[73]	0.74418490475	0.7441505	0.014721526440727	0.0146992377	0.7195783	0.7682179	0.999940764266418	4800.55511652525	6398.540418764	hap_temp_2359	0.71500385	0.77343245
